TAB         A small flap
OSTENSIBLE  Apparent
ASTONISHMENTSurprise, amazement
OSTRACIZE   To exile or banish
ASTUTE      Keen in discernment
ASUNDER     Separate
ASYLUM      A sanctuary or shelter
STABILIZE   To make firm
STABLE      Unchanging
STAGNANT    Not moving, stale
STARTLE     To surprise or frighten
STAUNCH     Firm and dependable
STAY        To pause
STEADY      Firm in position
STEALTHY    Furtive
STENCH      A foul odor
ITERATE     To state again or repeatedly
ETERNITY    Immortality
ATHEIST     One who does not believe in God
ETHICAL     Moral
ETHICS      Moral principles
STICK       A twig or branch of a tree
STILL       Unmoving
STINGY      Not generous
OTIOSE      Idle
STOOP       To bend down
STORE       To lay away
STOUT       Sturdy
STRANGE     Unfamiliar
STRAY       To wander
STRICT      Severe in discipline
STRIKE      To hit
STRIVE      To make an earnest effort
STRONG      Powerful
ATTACK      To assail
ATTENUATE   To reduce
UTTER       To speak
ATTEST      To bear witness to
STUBBORN    Inflexible in opinion or intention
STUMBLE     To trip or fall
STYLE       Fashion
QUACK       A pretender to medical skill
QUAINT      Prudent or wise
QUALIFIED   Competent
QUALIFY     To modify
QUALM       A doubt
GUARANTEE   To promise
QUARREL     An argument
QUARRY      An excavation
QUASH       To nullify
CUB         A young bear or lion
RUBBISH     Trash
RUBBLE      Broken fragments
SUBSIST     To have an existence
SUBVERT     To overthrow
MUCH        Great in amount
LUCID       Shining; bright
NUCLEUS     Center
LUCRATIVE   Profitable
DUCT        A tube or passage
DUCTILE     Flexible or pliable
BUD         A shoot of a plant
AUDACIOUS   Daring, shameless
CUDDLE      To hug
RUDE        Lacking refinement
AUDIBLE     Capable of being heard
HUE         A gradation of color
QUELL       To completely overwhelm
QUERY       A question
QUESTION    To inquire
BUFFET      To strike
SUFFUSE     To pour over
LUG         To pull with effort
HUGE        Very large
OUGHT       Should
LUGUBRIOUS  Very sad
QUICK       Fast
GUIDE       One who shows the way
QUIESCENT   Inactive, at rest
QUIET       Calm
BUILD       To construct
QUIT        To set free
QUITE       Extremely
QUIVER      To shake, tremble, or shiver
BULKY       Of great size
FULL        Completely filled
DULL        Unintelligent
SULLEN      Gloomily silent
GULLIBLE    Easily fooled
NULLIFY     To render invalid
PULVERIZE   To reduce to dust
TUMID       Swollen
LUMINARY    A body that gives light
RUMINATE    To think about
NUMINOUS    Mysterious
RUMMAGE     To search through
HUMOR       Comedy
JUMP        To leap
SUMPTUOUS   Luxurious
JUNCTION    Act of joining
PUNCTURE    To make a small hole in
BUNK        A narrow bed
PUNY        Small, weak
QUOTE       A passage from someone else
SUPERIOR    Of highest quality
DUPLICATE   To make a copy of
SUPPORT     To hold up
SUPPRESS    To put an end to
DURABLE     Lasting
RURAL       Pertaining to the country
LURCH       A sudden roll of a ship
HURDLE      To leap over
SURELY      Certainly
TURGID      Swollen
CURIOSITY   Desire to attain knowledge
HURL        To fling or throw with force
PURLOIN     To steal
TURMOIL     An agitated state
MURMUR      To complain
TURN        To rotate
BURNISH     To polish
SURPLUS     Being in excess of what is needed
BURST       To explode
NURTURE     To supply with food
FUSION      A blending together
SUSPEND     To stop temporarily
FUSS        Commotion
OUST        To force out
RUSTIC      Plain, country-like
BUSY        In use
MUTABLE     Capable of change
MUTATION    An alteration, change
OUTCOME     A result
MUTE        Unable to speak
AUTHENTIC   Real
RUTHLESS    Having no compassion
AUTHOR      The writer of a book or other work
CUTICLE     The skin
FUTILE      Useless
OUTLINE     Boundary
OUTRAGE     An act of violence
PUTRID      Rotten
JUVENILE    Young
AUXILIARY   Subsidiary, secondary
JUXTAPOSE   To place side by side
LUXURY      Elegant living
EVACUATE    To empty out
EVENT       Something that takes place
OVERRIDE    To disregard
EVICT       To force out
EVIDENT     Clear to the vision
EVIL        Sinful
EVINCE      To show
OVINE       Referring to sheep
SWAT        To hit
TWEAK       To pinch and twist sharply
AWFUL       Shocking, unpleasant
SWIFT       Fast
DWINDLE     To diminish
EXACERBATE  To make worse
EXACT       Perfectly precise
EXCERPT     A passage from a book
EXCHANGE    A trade
EXCISE      To cut out or off
EXCLUDE     To leave out
EXEMPLIFY   To illustrate
EXERT       To thrust forth
EXHALE      To breathe out
EXIGENT     Requiring immediate aid
EXPAND      To increase in size
EXPECT      To look forward to
EXPEND      To spend
EXPERIENCE  To perceive
EXPOUND     To state
EXPRESS     To verbalize
EXPUNGE     To remove
EXTEND      To stretch
EXTOL       To praise highly
EXTREME     The utmost limit
EXTRUDE     To press out
EXULT       To rejoice
BY          Next to, near
SYMPATHY    Compassion
HYPOTHESIS  An assumption
TYRANT      A cruel dictator
MYSTERY     Something which cannot be explained
MYSTIFY     To confuse
BYWAY       A side road
